日付	やること	備考
〇5/7 (水)	第1章「AWS認定資格」復習＋ノート整理	ウォーミングアップ
〇5/8 (木)	第2章「AWSクラウドの概念」復習＋ノート整理	
5/9 (金)	第3章「AWSのセキュリティ」復習＋ノート整理	※重点学習①
5/10 (土)	第4章「AWSのテクノロジー」復習＋ノート整理	
5/11 (日)	第5章「コンピューティングサービス」復習＋ノート整理	
5/12 (月)	第6章「ストレージサービス」復習＋ノート整理	
5/13 (火)	第7章「ネットワークサービス」復習＋ノート整理	
5/14 (水)	第8章「データベースサービス」復習＋ノート整理	
5/15 (木)	第9章「管理サービス」復習＋ノート整理	
5/16 (金)	第10章「請求と料金」復習＋ノート整理	※重点学習②
5/17 (土)	まとめ復習①（第1〜5章ざっと読み返し＋ノート見直し）	
5/18 (日)	まとめ復習②（第6〜10章ざっと読み返し＋ノート見直し）	
5/19 (月)	「責任共有モデル」だけをもう一度重点復習	※重点学習③
5/20 (火)	復習期間まとめ、弱点整理	問題演習前の準備
5/21 (水)	模擬試験① 65問＋解説読み込み	Udemy：基本レベル①
5/22 (木)	模擬試験② 65問＋解説読み込み	Udemy：基本レベル②
5/23 (金)	模擬試験③ 65問＋解説読み込み	Udemy：本番レベル①
5/24 (土)	模擬試験④ 65問＋解説読み込み	Udemy：本番レベル②
5/25 (日)	模擬試験⑤ 65問＋解説読み込み	Udemy：本番レベル③
5/26 (月)	模擬試験⑥ 65問＋解説読み込み	Udemy：本番レベル④
5/27 (火)	間違えた問題・怪しい問題をリストアップ	自作弱点ノート作成
5/28 (水)	リストアップ問題 再チャレンジ①（前半）	
5/29 (木)	リストアップ問題 再チャレンジ②（後半）	
5/30 (金)	総まとめ復習①（ノート中心に復習）	
5/31 (土)	総まとめ復習②（ノート中心に復習）	
6/1 (日)	弱点問題集中トレーニング①	最後の穴埋め
6/2 (月)	弱点問題集中トレーニング②	
6/3 (火)	模試（65問フル）本番形式①	時間計測あり
6/4 (水)	模試（65問フル）本番形式②	
6/5 (木)	ラスト弱点整理＋精神集中	軽め
6/6 (金)	本番想定 総仕上げ	
6/7 (土)	受験 or 予備日（受験日を調整）
